"University Name,School Name,Program  Title",Program Type,Tuition,Program Length,Program Start,Delivery Method,Email,Phone Number,Address,Program Information
Hofstra University�s Frank G. Zarb School of Business: MS in Finance,Finance,"$39,660",18-24 months,"Fall, Spring",On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Graduate Business Admissions Office, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=10881
Hofstra University�s Frank G. Zarb School of Business: MS in HR Management,Human Resources,"$38,040",18-24 months,"Fall, Spring",On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Graduate Business Admissions Office, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=10898
Hofstra University�s Frank G. Zarb School of Business: MS in Information Systems,Information Systems,"$39,660",18-24 months,"Fall, Spring",On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Graduate Business Admissions Office, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=10900
Hofstra University�s Frank G. Zarb School of Business: MS in Marketing,Marketing,"$39,660",18-24 months,"Fall, Spring",On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Office of Graduate Admission, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=10920
Hofstra University�s Frank G. Zarb School of Business: MS in Quantitative Finance,Finance,"$43,626",18-24 months,Fall,On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Office of Graduate Admission, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=10945
Hofstra University�s Frank G. Zarb School of Business: MS in Taxation,Taxation,"$39,660",18-24 months,"Fall, Spring",On-Campus,admission@Hofstra.edu,516-463-6700,"Hofstra University, Frank G. Zarb School of Business, Office of Graduate Admission, 126 Hofstra University, 105 Memorial Hall, Hempstead, New York 11549",http://bulletin.hofstra.edu/preview_program.php?catoid=81&poid=11034
Imperial College Business School: Management,Management,"�29,000",1 year,September,On-Campus,mscmanagement@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423515781;225326405;a
Imperial College Business School: MSc Business Analytics (Online),Analytics,"�27,500",2 years,September,Online,mscba-online@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423502583;225326405;w
"Imperial College Business School: MSc Climate Change, Management & Finance","Finance, Management","�27,500 (Overseas students) �16,000 (EU students)",1 year,September,On-Campus,mscclimatechange@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423515784;225326405;d
Imperial College Business School: MSc Economics & Strategy for Business,Economics,"�27,500",1 year,September,On-Campus,esb@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423517146;225326405;x
Imperial College Business School: MSc Finance,Finance,"�33,500",1 year,September,On-Campus,mscfinance@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423510699;225326405;d
Imperial College Business School: MSc Finance & Accounting,"Finance, Management","�33,500",1 year,September,On-Campus,fa@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423600328;225326405;s
Imperial College Business School: MSc in Business Analytics,Analytics & Data Science,"�28,300",One Year Full Time,Sep-19,On-Campus,mscbusinessanalytics@imperial.ac.uk,,"Imperial College Business School, Imperial College London,, South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423504357;225326405;x
"Imperial College Business School: MSc Innovation, Entrepreneurship & Management","Entrepreneurship, Innovation, Management","�27,500",1 year,September,On-Campus,mscinnovation@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423501713;225326405;q
Imperial College Business School: MSc International Health Management,Healthcare Administration,"�27,500",1 year,September,Online,health@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423494417;225326405;c
Imperial College Business School: MSc International Health Management,"Health Management, Healthcare Administration","�27,500",1 year,September,On-Campus,health@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London, California SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423494417;225326405;c
Imperial College Business School: MSc Investment & Wealth Management,"Investment Management, Wealth Management","�33,500",1 year,September,On-Campus,investment@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423494411;225326405;w
Imperial College Business School: MSc Risk Management & Financial Engineering,"Financial Engineering, Risk Management","�33,500",1 year,September,On-Campus,riskmanagement@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423511458;225326405;x
Imperial College Business School: MSc Strategic Marketing,Marketing,"�27,500",1 year,September,On-Campus,mscstrategicmarketing@imperial.ac.uk,,"Imperial College Business School, Imperial College London South Kensington Campus, London  SW7 2AZ",https://ad.doubleclick.net/ddm/clk/423502259;225326405;w
Indiana University�s Kelley School of Business: MS in Accounting,Accounting,"$36,000 Out of State, $20,000 In State",1 year,Fall,On-Campus,acctgrad@indiana.edu,812-855-7200,"Graduate Accounting Programs, William J. Godfrey Graduate and Executive Education Center, Suite 2000, 1275 East 10th St., Bloomington, Indiana 47405",http://kelley.iu.edu/MSA/index.html
Indiana University�s Kelley School of Business: MS in Business Analytics,Analytics & Data Science,"$39,000",15 months,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Suite 3100, Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSBA/page43444.cfm
Indiana University�s Kelley School of Business: MS in Entrepreneurship & Innovation,Entrepreneurship,"$39,000",15 months- 5 years,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Suite 3100, Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSEI/page45822.cfm
Indiana University�s Kelley School of Business: MS in Finance,Finance,"$39,753.60",10-11 months,June or July,On-Campus,msfin@indiana.edu,812-855-7200,"1275 East 10th Street, Bloomtingon, Indiana 47405",https://kelley.iu.edu/programs/ms-finance/
Indiana University�s Kelley School of Business: MS in Finance (Online Program),Finance,"$39,000",15 months- 5 years,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Suite 3100, Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSF/page36783.cfm
Indiana University�s Kelley School of Business: MS in Global Supply Chain Management,Supply Chain Management,"$39,000",15 months-5 years,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSGSCM/page36795.cfm
Indiana University�s Kelley School of Business: MS In Information Systems,Information Systems,"$33,515",2 or 3 semesters,Fall,On-Campus,MSIS@indiana.edu,812-855-8100,"Kelley Information Systems Graduate Programs, William J. Godfrey Graduate and Executive Education Center, Suite 2000, 1275 E 10th St., Bloomington, Indiana 47405",http://kelley.iu.edu/ISGP/index.html
Indiana University�s Kelley School of Business: MS in Marketing,Marketing,"$39,000",15 months-5 years,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Suite 3100, Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSM/page40226.cfm
Indiana University�s Kelley School of Business: MS in Strategic Management,Management,"$39,000",15 months-5 years,Fall,Online,kdirect@indiana.edu,877-785-4713,"Kelley Direct Programs, 1275 E. Tenth St., Suite 3100, Bloomington, Indiana 47405",http://kelley.iu.edu/onlineMBA/Online/MSSM/page36796.cfm
INSEAD: Master in Management,Management,"� 47,500",10 months,Sep-20,On-Campus,mim.info@insead.edu,+3 316-072-4000,"Boulevard de Constance, 77300 Fontainebleau, France ",https://www.insead.edu/master-programmes/mim
Iowa State University�s College of Business: MS in Business Analytics,Analytics & Data Science,"$8,979",21 months,Fall,"On-Campus, Online",busgrad@iastate.edu,515-294-8118,"Iowa State College of Business, 1360 Gerdin Business Building, Ames, Iowa 50011-1350",http://www.business.iastate.edu/masters/business-analytics/
Iowa State University�s College of Business: MS in Finance,Finance,"$17,730",3 semesters,"Fall, Spring",On-Campus,busgrad@iastate.edu,515-294-8118,"Iowa State College of Business, 1360 Gerdin Business Building, Ames, Iowa 50011-1350",http://www.business.iastate.edu/masters/mfin/
Iowa State University�s College of Business: MS in Information Assurance,Information Systems,"$30,498",3 years,"Fall, Spring, Summer","On-Campus, Online",infas@iastate.edu,515-294-0659,"Iowa State College of Business, Information Assurance Center, 2215 Coover Hall, Ames, Iowa 50011-3060",http://www.business.iastate.edu/masters/msia/
Iowa State University�s College of Business: MS in Information Systems,Information Systems,"$21,120",2 years,"Fall, Spring, Summer","On-Campus, Online",infas@iastate.edu,515-294-0659,"Iowa State College of Business, Information Assurance Center, 2215 Coover Hall, Ames, Iowa 50011-3060",http://www.iac.iastate.edu/
IQS School of Management: MS in Global Entrepreneurial Management,"Entrepreneurship, Global/International Business, Management","$38,000",1 year,October,On-Campus,admissions@iqs.edu,?932672020,"Georgina Girona, georgina.girona@iqs.edu",https://www.iqs.edu/en/masters-mba/master-global-entrepreneurial-management
IQS School Of Management: MS in Industrial Business Management,"Business Administration (MSBA), Management","12,900",1 year,October,On-Campus,admissions@iqs.edu,?932672020,,https://www.iqs.edu/en/masters-mba/master-industrial-business-management
IQS School of Management: MS in International Marketing in a Digital Environment / MS in International Marketing & Sales Management,"Marketing, Sales Management",14.10 �,1 year,October,On-Campus,admissions@iqs.edu,?932672020,"Georgina Girona, georgina.girona@iqs.edu",https://www.iqs.edu/en/masters-mba/master-international-marketing-sales-management
Johns Hopkins Krieger School of Arts & Sciences: MS in Applied Economics,Economics,"$42,850",10 courses,"Fall, Spring, or Summer",Blended,gbriand1@jhu.edu,202-663-5983,"Assistant Director: Dr. Genevieve Briand, 1717 Massachusetts Avenue NW, Washington, District of Columbia 20036",https://advanced.jhu.edu/academics/graduate-degree-programs/applied-economics/
London Business School: Global Masters in Management,Management,"�29,900 + RMB 100,000",24 months,Fall,On-Campus,mim@london.edu,+440 207-000-7503,"Early Career Programmes Recruitment and Admissions Office, London Business School, Sussex Place Regents Park, London  NW1 4SA",https://www.london.edu/education-and-development/masters-courses/global-masters-in-management#.V3_VcyMrKL0
London Business School: Masters in Management,Management,"�29,900",10 months,Fall,On-Campus,mim@london.edu,+440 207-000-7503,"Early Career Programmes Recruitment and Admissions Office, London Business School, Sussex Place Regents Park, London  NW1 4SA",https://www.london.edu/education-and-development/masters-courses/masters-in-management#.V3_RliMrKL0
London Business School: MS in Finance,Finance,"�43,100",10-16 months or 22 months,Fall,On-Campus,mif@london.edu,+44 207-000-8381,"Early Career Programmes Recruitment and Admissions Office, London Business School, Sussex Place Regents Park, London  NW1 4SA",https://www.london.edu/education-and-development/masters-courses/masters-in-finance#.V3_bAiMrKL0
London Business School: MS in Financial Analysis,Finance,"�32,550",12 months,Fall,On-Campus,mfa@london.edu,+440 207-000-7515,"Admissions Office Name: Early Career Programmes Recruitment and Admissions Office, London Business School, Sussex Place Regents Park, London  NW1 4SA",https://www.london.edu/education-and-development/masters-courses/masters-in-financial-analysis#.V3_XxSMrKL0
Louisiana State University�s E. J. Ourso College of Business: MS in Analytics,Analytics & Data Science,"$16,200",12 months,"Summer, Spring, Fall",On-Campus,analytics@lsu.edu,+1 225-578-4500,"Louisiana State University, E.J. Ourso College of Business, Department of Information Systems and Decisions Sciences, Business Education Complex, Room 2200, Baton Rouge, Louisiana 70803",https://business.lsu.edu/information-systems-decision-sciences/pages/ms-analytics.aspx
Louisiana State University�s E.J. Ourso College of Business: MS in Accounting,Accounting,"$9,485",1 year,"Fall, Spring, Summer",On-Campus,accounting@lsu.edu,225-578-6202,"Louisiana State University, E.J. Ourso College of Business, Department of Accounting, Business Education Complex, Room 2800, Baton Rouge, Louisiana 70803",https://business.lsu.edu/accounting/MS-Accounting/Pages/MS-Accounting.aspx
Louisiana State University�s E.J. Ourso College of Business: MS in Economics,Economics,"$14,233",1.5 years,Fall,On-Campus,bunel@lsu.edu,225-578-3790,"Louisiana State University, E.J. Ourso College of Business, Department of Economics, Business Education Complex, Room 2300, Baton Rouge, Louisiana 70803-6306",https://business.lsu.edu/economics/Pages/MS-Economics.aspx
Louisiana State University�s E.J. Ourso College of Business: MS in Finance,Finance,"$14,233",3 semesters,"Fall, Spring",On-Campus,finance@lsu.edu,225-578-6291,"Louisiana State University, E.J. Ourso College of Business, Department of Finance, Business Education Complex, Room 2900, Baton Rouge, Louisiana 70803",https://business.lsu.edu/finance/MS/pages/MS-Finance.aspx
Louisiana State University�s E.J. Ourso College of Business: MS in Public Administration,Public Administration,"$14,244",Five semesters,Fall,On-Campus,pai@lsu.edu,225-578-6743,"Louisiana State University, E.J. Ourso College of Business, Public Administration Institute, Business Education Complex, Room 2000, Baton Rouge, Louisiana 70803",https://business.lsu.edu/Public-Administration-Institute/Pages/About.aspx
Mannheim Business School: Master of Accounting & Taxation,"Accounting, Taxation","32,000 (Accounting Track) & 25,000 (Taxation Track)",3 years,Summer,On-Campus,info@mannheim-business-school.com,+49 621-181-2002,Julia Kortus,https://www.mannheim-business-school.com/en/mba-master/mannheim-master-of-accounting-taxation/
Marquette University: MS in Supply Chain Management,Supply Chain Management,"$36,300",22 months,Fall,Blended,MS-SCM@marquette.edu,414-288-3309,"Marquette University Milwaukee WI 53233, David A. Straz Jr. Hall 1225 W. Wisconsin Ave., Milwaukee, Wisconsin 53233",https://www.marquette.edu/business/graduate/master-supply-chain.php
Massachusetts Institute of Technology�s Center for Real Estate: MS in Real Estate Development,Real Estate,"$78,891",11-16 months,September,On-Campus,mit-cre@mit.edu,617-253-4373,"Tricia Nesti, MIT Center for Real Estate, 77 Massachusetts Avenue 9-343, Cambridge, Massachusetts 02139",https://mitcre.mit.edu/masters-program/about-the-program
Melbourne Business School�s: MS of Business Analytics,Analytics & Data Science,"$55,000 AUD",One Year,January,On-Campus,study@mbs.edu,+6 139-349-8200,"200 Leicester Street, Carlton Melbourne VIC  3153",https://mbs.edu/education-development/degreeprograms/masterofbusinessanalytics?utm_source=Poets%20and%20Quants&utm_medium=website&utm_campaign=Master%20of%20Business%20Analytics
Melbourne Business School�s: MS of Marketing,Marketing,"$54,340 AUD",13 Units,"January, April, July, September",On-Campus,study@mbs.edu,+6 139-349-8200,"200 Leicester Street, Carlton Melbourne VIC  3153",https://mbs.edu/education-development/degreeprograms/masterofmarketing
Michigan State University�s Eli Broad College of Business: MS in Hospitality Business Management,"Hospitality, Management",N/A,1-2 years,FS08,On-Campus,shbsirc@msu.edu,517-353-9211,"632 Bogue St N520, East Lansing, Michigan 48824",https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=6047
Michigan State�s Broad College of Business: MS in Accounting,Accounting,"$21,810",12 months,"Fall, Spring, Summer",On-Campus,msacct@broad.msu.edu,517-432-0951,"Michigan State University, Eli Broad College of Business, North Business College Complex, 632 Bogue Street N270, East Lansing, Michigan 48824",http://accounting.broad.msu.edu/welcome/ms/
Michigan State�s Broad College of Business: MS in Business Analytics,Analytics & Data Science,"$20,208",12 months,Spring,On-Campus,analytics@broad.msu.edu,517-355-7486,"Michigan State University, Eli Broad College of Business, North Business College Complex, 632 Bogue Street N200, East Lansing, Michigan 48824",http://accounting.broad.msu.edu/welcome/ms-business-analytics/
Michigan State�s Broad College of Business: MS in Finance,Finance,"$37,500",12 months,Fall,On-Campus,msfinance@broad.msu.edu,517-353-3065,"Michigan State University, Eli Broad College of Business, North Business College Complex, 632 Bogue St., East Lansing, Michigan 48824",http://finance.broad.msu.edu/msfinance/
Michigan State�s Broad College of Business: MS in Management Studies,Management,"$39,000",1 year,May,Blended,jhittler@broad.msu.edu,517-432-0090,"Broad College of Business Michigan State University, 645 N. Shaw Lane Rm 210, East Lansing, Michigan 48824",https://broad.msu.edu/masters/management-studies/
"Michigan State�s Broad College of Business: MS in Management, Strategy, and Leadership",Management,"$46,800",20 months,Spring or Fall,Online,mgt@msu.edu,517-353-5415,"North Business College Complex, Eli Broad College of Business, North Business College Complex, 632 Bogue Street Room N475, East Lansing, Michigan 48824-1122",http://management.broad.msu.edu/ms-in-management-strategy-and-leadership/
Michigan State�s Broad College of Business: MS in�Marketing Research,Marketing,"$24,718",12 months - 20 months,Spring,"On-Campus, Online",msc00@broad.msu.edu,517-353-6381,"Michigan State University, Eli Broad College of Business, North Business College Complex, 632 Bogue Street N370, East Lansing, Michigan 48824",http://marketing.broad.msu.edu/msmr/
Michigan State�s Broad College of Business: MS in Supply Chain Management,Supply Chain Management,"$54,200",24 months,Spring or Fall,Blended,msc00@broad.msu.edu,517-353-6381,"Michigan State University, Eli Broad College of Business, North Business College Complex, 632 Bogue St. N370, East Lansing, Michigan 48824-1121",http://supplychain.broad.msu.edu/graduate/msscm/
MIT�s Center for Transportation & Logistics: Master in Supply Chain Management,Supply Chain Management,"$74,968",2 semesters,August,"Blended, On-Campus",scm@mit.edu,617-258-7569,"MIT Center for Transportation & Logistics, 77 Massachusetts Ave., E40-383, Cambridge, Massachusetts",https://scm.mit.edu/
MIT�s Sloan School of Management: Master of Business Analytics,Analytics & Data Science,"$77,350",12 months,Fall,On-Campus,businessanalytics@mit.edu,617-258-5434,"MIT Sloan School Admissions, 50 Memorial Drive, Room E52-359, Cambridge, Massachusetts 02142",http://mitsloan.mit.edu/master-of-business-analytics/
MIT�s Sloan School of Management: Master of Finance,Finance,"$77,350",12- 18 months,Summer,On-Campus,mfinadmissions@sloan.mit.edu,617-258-5434,"MIT Sloan School Admissions, 50 Memorial Drive, Room E52-359, Cambridge, Massachusetts 02142",http://mitsloan.mit.edu/mfin/
New York University�s Stern School of Business: MS in Accounting,Accounting,"$54,546",1 year,August,On-Campus,gradadmissions@stern.nyu.edu,212-998-0600,"NYU Stern School of Business, NYU Stern Graduate Admissions, Kaufman Management Center, 44 West 4th Street, Suite 6-70, New York, New York 10012",http://www.stern.nyu.edu/programs-admissions/ms-accounting
New York University�s Stern School of Business: MS in Business Analytics,Analytics & Data Science,"$79,000",1 year,May,Blended,msba@stern.nyu.edu,+1 212-998-0442,"NYU Stern Executive Programs, Global Degree Programs, 44 West 4th Street, Suite 4-100, New York, New York 10012",http://bit.ly/msbapq1
New York University�s Stern School of Business: MS in Quantitative Management Online,"Analytics, Data Science, Economics, Management","64,800",20 months,August,Online,OnlineMSQM@stern.nyu.edu,+1 888-965-5455,"NYU Stern MSQM Office of Admissions, Tiffany Parker, 40 West 4th Street, 5th Floor Suite 500, New York, New York 10012",https://www.stern.nyu.edu/programs-admissions/masters-programs/online-ms-quantitative-management/online-msqm/?ace_campaign=poets_and_quants_listing
New York University�s Stern School of Business: MS in Risk Management,Risk Management,"$76,000",1 year,May,Blended,msrm@stern.nyu.edu,+1 212-998-0442,"44 West Fourth Street, Suite 4-100, New York, New York 10012",http://www.stern.nyu.edu/programs-admissions/global-degrees/ms-risk-management
New York University�s Tisch Center of Hospitality: MS in Hospitality Industry Studies,Hospitality,"89,000","2 Years Full-Time, 3-5 for Part-Time","Fall, Spring, Summer",On-Campus,sps.gradadmissions@nyu.edu,212-998-7100,"Office of Admissions, 7 East 12th Street Suite 921, New York City, New York 10003",http://www.scps.nyu.edu/content/scps/academics/departments/tisch/academic-offerings/graduate/ms-hospitality-industry-studies.html
North Carolina State University�s Jenkins Graduate School of Management: MS in Accounting,Accounting,"$21,536",2 semesters,Fall,On-Campus,krawczyk@ncsu.edu,919-515-4431,"North Carolina State University, Jenkins Graduate School of Management, 2801 Founders Drive, Campus Box 8113, Raleigh, North Carolina 27695-8113",https://poole.ncsu.edu/mac/
Northeastern University D�Amore-McKim School of Business: MS in Accounting,Accounting,"$49,950",7-12 months,Summer,On-Campus,e.hess@northeastern.edu,617-373-4621,"Admissions Office, Graduate School of Professional Accounting, Northeastern University, 360 Huntington Avenue, Boston, Massachusetts 02115",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/accounting
Northeastern University D�Amore-McKim School of Business: MS in Accounting/MBA,Accounting,"$68,000",15 months,May,On-Campus,gspa@northeastern.edu,617-373-3244,"360 Huntington Avenue, 412 Dodge Hall, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/dual-degrees/accounting-mba
Northeastern University D�Amore-McKim School of Business: MS in Taxation,Taxation,"$48,000",24-27 months,"September, January, or May",On-Campus,gspa@northeastern.edu,617-373-3244,"Admissions Office, Graduate School of Professional Accounting, Northeastern University, 412 Dodge Hall, 360 Huntington Avenue, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/taxation
Northeastern University�s D�Amore-McKim School of Business: MS in Finance,Finance,"$48,000",12-21 months,September,On-Campus,gradbusiness@northeastern.edu,617-373-5992,"Graduate Business Admissions Office, D'Amore-McKim School of Business, Northeastern University, 350 Dodge Hall, 360 Huntington Avenue, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/finance
Northeastern University�s D�Amore-McKim School of Business: MS in Innovation,Innovation,"$48,000",1 year to 18 months,September (Boston campus); January (online),"On-Campus, Online",gradbusiness@northeastern.edu,617-373-5992,"Northeastern University, 350 Dodge Hall, 360 Huntington Avenue, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/innovation
Northeastern University�s D�Amore-McKim School of Business: MS in International Business,Global/International Business,"$48,000",Minimum 12 months,September,On-Campus,gradbusiness@northeastern.edu,617-373-5992,"Graduate Business Admissions Office, D'Amore-McKim School of Business, Northeastern University, 350 Dodge Hall, 360 Huntington Avenue, Boston, Massachusetts 02115",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/international-business
Northeastern University�s D�Amore-McKim School of Business: MS in International Management,"Global/International Business, Management","$46,800",Single Degree Option,August or September,On-Campus,gradbusiness@northeastern.edu,617-373-5992,"D�Amore-McKim Admissions, 360 Huntington Ave, 350 Dodge Hall, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/international-management
Northeastern University�s D�Amore-McKim School of Business: MS in Technological Entrepreneurship,"Entrepreneurship, Technology","$48,000",10 months full-time; 22 months part-time,August,On-Campus,gradbusiness@northeastern.edu,617-373-5992,"Graduate Business Admissions Office, D'Amore-McKim School of Business, Northeastern University, 350 Dodge Hall, 360 Huntington Avenue, Boston, Massachusetts 02115-5000",http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/technological-entrepreneurship
Northeastern University�s D�Amore-McKim School of Business: MS in Business Analytics,Analytics & Data Science,"$46,800",7-12 months,"Fall, Spring, or Summer",Online,e.tate@northeastern.edu,617-373-5992,"Graduate Business Admissions Office, 360 Huntington Avenue, 350 Dodge Hall, Boston, Massachusetts 02115",https://www.northeastern.edu/graduate/program/master-of-science-in-business-analytics-14873/
Northwestern University�s Kellogg School of Management: MS in Management Studies,Management,"$53,864",10 months,Fall,On-Campus,msmsadmissions@kellogg.northwestern.edu,847-491-3308,"Kellogg School of Management, Chicago Campus, MS in Management Studies, 340 East Superior Street, 2nd Floor Mezzanine, Chicago IL, Illinois 60611",http://www.kellogg.northwestern.edu/programs/ms-management-studies/academics.aspx
Notre Dame�s Mendoza College of Business: Master of Nonprofit Administration,Nonprofit Leadership,"$35,000",14 - 48 months,Summer,Blended,mna.business@nd.edu,574-631-3639,"MNA Program Manager, University of Notre Dame, Mendoza College of Business, Room 123, South Bend, Indiana 46556",http://mendoza.nd.edu/programs/specialized-masters/master-of-nonprofit-administration/
Notre Dame�s Mendoza College of Business: MS in Accountancy,Accounting,"$54,120",2 semesters,August & January,On-Campus,msacct.business@nd.edu,574-631-8488,"Master of Science in Accountancy, University of Notre Dame, 276 Mendoza College of Business, South Bend, Indiana 46556",https://mendoza.nd.edu/programs/specialized-masters/ms-in-accountancy/
Notre Dame�s Mendoza College of Business: MS in Finance,Finance,"$57,100",12 months,Spring,On-Campus,msf.business@nd.edu,574-631-5285,"MSF - Chicago Campus, University of Notre Dame, Chicago Commons, 224 S. Michigan Ave., Chicago, Illinois 60604",http://mendoza.nd.edu/programs/specialized-masters/ms-in-finance/
Notre Dame�s Mendoza College of Business: MS in Management,Management,"$51,086",11 months,June,On-Campus,msm.business@nd.edu,574-631-8488,"Master of Science in Management, University of Notre Dame, Mendoza College of Business, Room 276, South Bend, Indiana 46556",https://mendoza.nd.edu/programs/specialized-masters/ms-in-management/
Notre Dame�s Mendoza College of Business: MS in Business Analytics,"Analytics & Data Science, Data Science","$51,000 - $52,000",10 months,August,On-Campus,msba.business@nd.edu,574-631-8488,"University of Notre Dame, 285 Mendoza College of Business, Notre Dame, Indiana 46556",https://mendoza.nd.edu/programs/specialized-masters/business-analytics/
Notre Dame�s Mendoza College of Business: MS in Business Analytics � Chicago,Analytics & Data Science,"$57,100",11 months,Spring,On-Campus,msba.business@nd.edu,574-631-5285,"MSBA Admissions Office, University of Notre Dame, Mendoza College of Business, South Bend, Indiana 46556",http://mendoza.nd.edu/programs/specialized-masters/ms-in-business-analytics/
Nottingham University Business School: MS in Banking & Finance,Finance,"GBP 22,500 overseas; 11,970 Home/EU",1 year,October,On-Campus,pg-applications-enquiries@nottingham.ac.uk,+440 115-951-4749,"PG Admissions, Admissions Office University of Nottingham Gatehouse Lodge, Wollaton Hall Drive Derby Road, Nottingham  NG8 1AF",http://www.nottingham.ac.uk/business/programmes/msc/courses/banking-and-finance.aspx
NUS Business School: MSc In Finance,Finance,"S$45,000 (subject to 7% GST)",14 months,"August (pre-entry online module), October (on-campus)","On-Campus, Online",mscfin@nus.edu.sg,656-516-3370,"MSc Programmes Office, Mochtar Riady Building #4-1, 15 Kent Ridge Drive",http://mscfin.nus.edu.sg/
NUS Business School: MSc In Management,Management,"S$20,000",1 year,January,On-Campus,mscmgt@nus.edu.sg,656-516-3370,"MSc Programmes Office, Mochtar Riady Building #4-1, 15 Kent Ridge Drive",http://mim.nus.edu/
NUS Business School: MSc In Management & CEMS: MS In International Management,"Global/International Business, Management","S$38,000 (subject to 7% GST)",1.5 years,January,On-Campus,mscmgt@nus.edu.sg,656-516-3370,"MSc Programmes Office, Mochtar Riady Building #4-1, 15 Kent Ridge Drive",http://mim.nus.edu/cems-connection/cems-mim/
NYU Department of Economics: Master of Arts and Advanced Certificate Program in Applied Economic Analysis,Economics,"$57,184",,,Blended,econ.ma@nyu.edu,212-998-8900,"New York University, 19 West 4th Street 6 Floor, New York, New York 10012",http://as.nyu.edu/econ/graduate/ma.html
NYU School of Professional Studies: MS in Real Estate Development,Real Estate,"$19,897 per semester for 10-12 units","Part-time, full-time, or accelerated 13 month format","Fall, Spring, or Summer",On-Campus,sps.gradadmissions@nyu.edu,212-992-3335,"11 W. 42nd St., New York, New York 10036",http://www.scps.nyu.edu/content/scps/academics/departments/schack/academic-offerings/undergraduate-program/bs-real-estate.html
